PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
ggM20,1,17,Experiment,True,True,0.06086701899766922,"[0, 4]"
ggM20,1,18,Experiment,True,True,0.054050664002716076,"[3, 0]"
ggM20,1,19,Experiment,True,True,0.08246550400508568,"[4, 3]"
ggM20,1,20,Experiment,False,False,0.06366974700358696,"[-1, -1]"
ggM20,1,21,Experiment,True,True,0.06514117399638053,"[4, 0]"
ggM20,1,22,Experiment,True,True,0.08403896700474434,"[4, 2]"
ggM20,1,23,Experiment,False,False,0.38386243299464695,"[-1, -1]"
ggM20,1,24,Experiment,True,True,0.29108920200087596,"[4, 3]"
ggM20,1,25,Experiment,False,False,0.2826085719934781,"[-1, -1]"
ggM20,1,26,Experiment,True,True,0.3432162520039128,"[4, 0]"
ggM20,1,27,Experiment,True,True,2.722936195001239,"[1, 0]"
ggM20,1,28,Experiment,True,True,0.3273439620024874,"[0, 1]"
ggM20,1,29,Experiment,False,False,0.5287645390053513,"[-1, -1]"
ggM20,1,30,Experiment,False,False,0.31392195799708134,"[-1, -1]"
ggM20,1,31,Experiment,True,True,0.36311055900296196,"[0, 3]"
ggM20,1,32,Experiment,True,True,0.3270372850020067,"[4, 1]"
ggM20,1,33,Experiment,True,True,0.32220538700494217,"[3, 3]"
ggM20,1,34,Experiment,True,True,0.13950601500255289,"[0, 4]"
ggM20,1,35,Experiment,False,False,0.12807255100051407,"[-1, -1]"
ggM20,1,36,Experiment,True,True,0.10277938299987,"[3, 1]"
ggM20,1,37,Experiment,True,True,0.3360741789947497,"[1, 3]"
ggM20,1,38,Experiment,False,False,0.12958780999906594,"[-1, -1]"
ggM20,1,39,Experiment,True,True,0.3605335259999265,"[3, 1]"
ggM20,1,40,Experiment,True,True,0.09370552199834492,"[4, 4]"
ggM20,1,41,Experiment,True,True,0.23809746799815912,"[1, 0]"
ggM20,1,42,Experiment,True,True,0.30535534000227926,"[1, 0]"
ggM20,1,43,Experiment,True,True,0.06019482600095216,"[2, 0]"
ggM20,1,44,Experiment,True,True,0.08998239799984731,"[1, 2]"
ggM20,1,45,Experiment,False,False,0.06906865099881543,"[-1, -1]"
ggM20,1,46,Experiment,False,False,0.06983200800459599,"[-1, -1]"
ggM20,1,47,Experiment,True,True,0.08672867999848677,"[4, 2]"
ggM20,1,48,Experiment,True,True,0.041959624002629425,"[1, 4]"
ggM20,1,49,Experiment,True,True,0.05034591699950397,"[2, 2]"
ggM20,1,50,Experiment,False,False,0.06513051100046141,"[-1, -1]"
