PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
jsdjffhM20,0,1,Training,True,True,1.0663708729989594,"[1, 4]"
jsdjffhM20,0,2,Training,True,True,0.722868031996768,"[2, 2]"
jsdjffhM20,0,3,Training,True,True,0.8942044409996015,"[0, 2]"
jsdjffhM20,0,4,Training,True,False,-1,"[-1, -1]"
jsdjffhM20,0,5,Training,True,False,-1,"[-1, -1]"
jsdjffhM20,0,6,Training,True,False,-1,"[-1, -1]"
jsdjffhM20,0,7,Training,True,True,0.9598058209958253,"[2, 2]"
jsdjffhM20,0,8,Training,False,False,1.5089473249972798,"[-1, -1]"
jsdjffhM20,0,9,Training,True,True,0.4847287729935488,"[4, 0]"
jsdjffhM20,0,10,Training,True,True,0.11977781700261403,"[1, 2]"
jsdjffhM20,0,1,Experiment,True,True,0.7188479940014076,"[2, 0]"
jsdjffhM20,0,2,Experiment,False,False,0.7532815410013427,"[-1, -1]"
jsdjffhM20,0,3,Experiment,True,True,0.41068309800175484,"[0, 3]"
jsdjffhM20,0,4,Experiment,True,True,0.3853024230047595,"[2, 2]"
jsdjffhM20,0,5,Experiment,False,False,0.3933320360010839,"[-1, -1]"
jsdjffhM20,0,6,Experiment,True,True,0.31161893399985274,"[4, 0]"
jsdjffhM20,0,7,Experiment,True,True,0.235588669005665,"[3, 4]"
jsdjffhM20,0,8,Experiment,False,False,0.2432575229977374,"[-1, -1]"
jsdjffhM20,0,9,Experiment,True,True,0.2611609960003989,"[1, 3]"
jsdjffhM20,0,10,Experiment,True,True,0.1709620659967186,"[2, 3]"
jsdjffhM20,0,11,Experiment,True,True,0.15107474999967963,"[0, 0]"
jsdjffhM20,0,12,Experiment,True,True,0.14474072599841747,"[4, 3]"
jsdjffhM20,0,13,Experiment,False,False,0.12621851499716286,"[-1, -1]"
jsdjffhM20,0,14,Experiment,True,True,0.11052237599506043,"[1, 3]"
jsdjffhM20,0,15,Experiment,True,True,0.09441606999462238,"[1, 1]"
jsdjffhM20,0,16,Experiment,True,True,0.09438437799690291,"[1, 0]"
jsdjffhM20,0,17,Experiment,False,False,0.16046297900174977,"[-1, -1]"
jsdjffhM20,0,18,Experiment,False,False,0.5273614739999175,"[-1, -1]"
jsdjffhM20,0,19,Experiment,False,False,0.2938998489989899,"[-1, -1]"
jsdjffhM20,0,20,Experiment,False,False,0.33565658400038956,"[-1, -1]"
jsdjffhM20,0,21,Experiment,False,False,0.3692531630003941,"[-1, -1]"
jsdjffhM20,0,22,Experiment,False,False,0.262608678000106,"[-1, -1]"
jsdjffhM20,0,23,Experiment,True,True,0.4257648320053704,"[0, 4]"
jsdjffhM20,0,24,Experiment,True,True,0.7393645580013981,"[2, 2]"
jsdjffhM20,0,25,Experiment,False,False,0.35931175199948484,"[-1, -1]"
jsdjffhM20,0,26,Experiment,True,True,0.16067150700109778,"[4, 3]"
jsdjffhM20,0,27,Experiment,True,True,0.11992473599821096,"[1, 0]"
jsdjffhM20,0,28,Experiment,True,True,0.1203032199991867,"[2, 2]"
jsdjffhM20,0,29,Experiment,True,True,0.1600929679989349,"[1, 3]"
jsdjffhM20,0,30,Experiment,False,False,0.12674295200122287,"[-1, -1]"
jsdjffhM20,0,31,Experiment,True,True,0.11065403900283854,"[3, 0]"
jsdjffhM20,0,32,Experiment,True,True,0.1029310899975826,"[0, 3]"
jsdjffhM20,0,33,Experiment,True,True,0.12192792100540828,"[0, 2]"
jsdjffhM20,0,34,Experiment,True,True,0.09239224700286286,"[1, 4]"
jsdjffhM20,0,35,Experiment,True,True,0.09391576599591644,"[0, 1]"
jsdjffhM20,0,36,Experiment,True,True,0.3383614310005214,"[0, 3]"
jsdjffhM20,0,37,Experiment,True,True,0.10356767500343267,"[2, 4]"
jsdjffhM20,0,38,Experiment,True,True,0.09399279300123453,"[0, 0]"
jsdjffhM20,0,39,Experiment,True,True,0.29391626299911877,"[3, 2]"
jsdjffhM20,0,40,Experiment,True,True,0.12735608799994225,"[2, 3]"
jsdjffhM20,0,41,Experiment,True,True,0.09363231300085317,"[2, 2]"
jsdjffhM20,0,42,Experiment,True,True,0.10251982900081202,"[2, 3]"
jsdjffhM20,0,43,Experiment,True,True,0.09362297700135969,"[3, 1]"
jsdjffhM20,0,44,Experiment,True,True,0.09498829000222031,"[1, 1]"
jsdjffhM20,0,45,Experiment,True,True,0.08942683500208659,"[4, 0]"
jsdjffhM20,0,46,Experiment,True,True,0.07736252199538285,"[1, 3]"
jsdjffhM20,0,47,Experiment,True,True,0.09367698900314281,"[4, 2]"
jsdjffhM20,0,48,Experiment,True,True,0.06032830999902217,"[1, 0]"
jsdjffhM20,0,49,Experiment,True,False,-1,"[-1, -1]"
jsdjffhM20,0,50,Experiment,True,False,-1,"[-1, -1]"
jsdjffhM20,1,1,Experiment,False,False,0.026065388999995776,"[-1, -1]"
jsdjffhM20,1,2,Experiment,True,True,0.3763726460019825,"[3, 0]"
jsdjffhM20,1,3,Experiment,False,False,0.09310038400144549,"[-1, -1]"
jsdjffhM20,1,4,Experiment,True,True,0.11023854499944719,"[3, 0]"
jsdjffhM20,1,5,Experiment,True,True,0.06443721800314961,"[3, 2]"
jsdjffhM20,1,6,Experiment,True,True,0.07177812999725575,"[1, 4]"
jsdjffhM20,1,7,Experiment,True,True,0.07172987800004194,"[1, 0]"
jsdjffhM20,1,8,Experiment,True,True,0.09976950300188037,"[3, 2]"
jsdjffhM20,1,9,Experiment,False,False,0.12548026400327217,"[-1, -1]"
jsdjffhM20,1,10,Experiment,True,True,0.063879547000397,"[0, 1]"
jsdjffhM20,1,11,Experiment,True,True,0.10499856900423765,"[2, 4]"
jsdjffhM20,1,12,Experiment,True,True,0.02179205200081924,"[0, 3]"
jsdjffhM20,1,13,Experiment,False,False,0.09358114200585987,"[-1, -1]"
jsdjffhM20,1,14,Experiment,False,False,0.05221231899486156,"[-1, -1]"
jsdjffhM20,1,15,Experiment,True,True,0.12148992400034331,"[1, 0]"
jsdjffhM20,1,16,Experiment,False,False,0.07036161399446428,"[-1, -1]"
jsdjffhM20,1,17,Experiment,True,True,0.07343010199838318,"[3, 4]"
jsdjffhM20,1,18,Experiment,True,True,0.08921823599666823,"[3, 4]"
jsdjffhM20,1,19,Experiment,True,True,0.09419625300506596,"[4, 4]"
jsdjffhM20,1,20,Experiment,False,False,0.08201857400126755,"[-1, -1]"
jsdjffhM20,1,21,Experiment,True,True,0.049804298003437,"[0, 4]"
jsdjffhM20,1,22,Experiment,False,False,0.1063503569966997,"[-1, -1]"
jsdjffhM20,1,23,Experiment,False,False,0.07701846700365422,"[-1, -1]"
jsdjffhM20,1,24,Experiment,False,False,0.12203170399880037,"[-1, -1]"
jsdjffhM20,1,25,Experiment,True,True,0.09422778800217202,"[3, 1]"
jsdjffhM20,1,26,Experiment,True,True,0.09422124300181167,"[3, 3]"
jsdjffhM20,1,27,Experiment,False,False,0.07292143599624978,"[-1, -1]"
jsdjffhM20,1,28,Experiment,True,True,0.09304582299955655,"[0, 3]"
jsdjffhM20,1,29,Experiment,False,False,0.09348341500299284,"[-1, -1]"
jsdjffhM20,1,30,Experiment,True,True,0.09408706900285324,"[1, 0]"
jsdjffhM20,1,31,Experiment,True,True,0.09401665100449463,"[1, 1]"
jsdjffhM20,1,32,Experiment,True,True,0.19309521100512939,"[1, 0]"
jsdjffhM20,1,33,Experiment,True,True,0.15232687100069597,"[1, 1]"
jsdjffhM20,1,34,Experiment,True,True,0.0867387990001589,"[1, 4]"
jsdjffhM20,1,35,Experiment,True,True,0.0942382329958491,"[3, 3]"
jsdjffhM20,1,36,Experiment,True,True,0.08767702899785945,"[0, 3]"
jsdjffhM20,1,37,Experiment,True,True,0.07748194399755448,"[4, 0]"
jsdjffhM20,1,38,Experiment,True,True,0.10191183500137413,"[0, 4]"
jsdjffhM20,1,39,Experiment,True,True,0.12785129500116454,"[3, 3]"
jsdjffhM20,1,40,Experiment,False,False,0.09978702000080375,"[-1, -1]"
jsdjffhM20,1,41,Experiment,True,True,0.11021019799954956,"[2, 2]"
jsdjffhM20,1,42,Experiment,False,False,0.09332672700111289,"[-1, -1]"
