PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
ggM20,0,1,Training,True,False,-1,"[-1, -1]"
ggM20,0,2,Training,True,True,1.761339033000695,"[3, 3]"
ggM20,0,3,Training,True,False,-1,"[-1, -1]"
ggM20,0,4,Training,True,True,0.8287690610013669,"[1, 2]"
ggM20,0,5,Training,True,True,0.49447479299851693,"[3, 3]"
ggM20,0,6,Training,False,False,0.420782875000441,"[-1, -1]"
ggM20,0,7,Training,False,False,0.35819698499835795,"[-1, -1]"
ggM20,0,8,Training,True,True,0.2913296149999951,"[4, 1]"
ggM20,0,9,Training,False,False,0.2100343649944989,"[-1, -1]"
ggM20,0,10,Training,True,True,0.13578789299936034,"[2, 4]"
ggM20,0,1,Experiment,True,True,2.9746604329993716,"[3, 2]"
ggM20,0,2,Experiment,True,True,1.9845027640039916,"[0, 3]"
ggM20,0,3,Experiment,True,True,0.9201275269952021,"[2, 3]"
ggM20,0,4,Experiment,True,True,0.6943552789962268,"[2, 2]"
ggM20,0,5,Experiment,True,True,0.7729685790036456,"[3, 2]"
ggM20,0,6,Experiment,False,True,-1,"[4, 3]"
ggM20,0,7,Experiment,False,True,-1,"[3, 0]"
ggM20,0,8,Experiment,False,True,-1,"[0, 3]"
ggM20,0,9,Experiment,True,False,-1,"[-1, -1]"
ggM20,0,10,Experiment,True,False,-1,"[-1, -1]"
ggM20,0,11,Experiment,False,True,-1,"[3, 2]"
ggM20,0,12,Experiment,True,True,0.2743208690008032,"[2, 1]"
ggM20,0,13,Experiment,False,False,0.2572475650013075,"[-1, -1]"
ggM20,0,14,Experiment,True,True,0.26171603599505033,"[0, 1]"
ggM20,0,15,Experiment,False,False,0.10332897300395416,"[-1, -1]"
ggM20,0,16,Experiment,True,True,0.14233825999690453,"[0, 4]"
ggM20,0,17,Experiment,False,False,0.1273883920002845,"[-1, -1]"
ggM20,0,18,Experiment,False,False,0.11674715700064553,"[-1, -1]"
ggM20,0,19,Experiment,False,False,0.17610280000371858,"[-1, -1]"
ggM20,0,20,Experiment,True,True,0.3246874079995905,"[3, 0]"
ggM20,0,21,Experiment,True,True,0.36147260299912887,"[2, 0]"
ggM20,0,22,Experiment,True,True,0.14101308200042695,"[3, 4]"
ggM20,0,23,Experiment,True,True,0.12230241199722514,"[4, 3]"
ggM20,0,24,Experiment,True,True,0.26025271300022723,"[3, 2]"
ggM20,0,25,Experiment,True,True,0.2957577080014744,"[1, 3]"
ggM20,0,26,Experiment,True,True,0.30915870199532947,"[0, 2]"
ggM20,0,27,Experiment,True,True,0.29380287100502755,"[0, 1]"
ggM20,0,28,Experiment,True,True,0.2613313730034861,"[4, 0]"
ggM20,0,29,Experiment,True,True,0.2957358799976646,"[3, 4]"
ggM20,0,30,Experiment,True,True,0.2678886059948127,"[3, 3]"
ggM20,0,31,Experiment,True,True,0.2568087079998804,"[1, 3]"
ggM20,0,32,Experiment,False,False,0.2690523239944014,"[-1, -1]"
ggM20,0,33,Experiment,True,True,0.0649358820010093,"[2, 2]"
ggM20,0,34,Experiment,True,True,0.019580568994570058,"[1, 2]"
ggM20,0,35,Experiment,True,True,0.05128111500380328,"[2, 0]"
ggM20,0,36,Experiment,True,True,0.05616582999937236,"[0, 1]"
ggM20,0,37,Experiment,True,True,0.06881101199542172,"[2, 3]"
ggM20,0,38,Experiment,True,True,0.08884491299977526,"[2, 2]"
ggM20,0,39,Experiment,True,True,0.0426211720041465,"[2, 1]"
ggM20,0,40,Experiment,True,True,0.08512999300000956,"[4, 1]"
ggM20,0,41,Experiment,True,True,0.06290824499592418,"[1, 3]"
ggM20,0,42,Experiment,False,False,0.18955148399982136,"[-1, -1]"
ggM20,0,43,Experiment,True,True,0.40105999400111614,"[3, 4]"
ggM20,0,44,Experiment,False,False,0.29759278900019126,"[-1, -1]"
ggM20,0,45,Experiment,True,True,0.1609387680000509,"[0, 1]"
ggM20,0,46,Experiment,True,True,0.10394926399749238,"[0, 3]"
