PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
hhM20,1,18,Experiment,True,True,0.055915454984642565,"[0, 2]"
hhM20,1,19,Experiment,False,False,0.053466932964511216,"[-1, -1]"
hhM20,1,20,Experiment,True,True,0.058260314050130546,"[0, 4]"
hhM20,1,21,Experiment,False,False,0.08322352299001068,"[-1, -1]"
hhM20,1,22,Experiment,True,True,0.05991014500614256,"[3, 4]"
hhM20,1,23,Experiment,True,True,0.05631362402345985,"[4, 2]"
hhM20,1,24,Experiment,True,True,0.039021612028591335,"[2, 0]"
hhM20,1,25,Experiment,True,True,0.056378506938926876,"[2, 0]"
hhM20,1,26,Experiment,False,False,0.056020495016127825,"[-1, -1]"
hhM20,1,27,Experiment,False,False,0.05382330296561122,"[-1, -1]"
hhM20,1,28,Experiment,True,True,0.2023496120236814,"[2, 3]"
hhM20,1,29,Experiment,True,True,0.07820191700011492,"[2, 3]"
hhM20,1,30,Experiment,True,True,0.09335834498051554,"[0, 2]"
hhM20,1,31,Experiment,True,True,0.05485165794380009,"[4, 3]"
hhM20,1,32,Experiment,True,True,0.09347043104935437,"[2, 0]"
hhM20,1,33,Experiment,True,True,0.03737356304191053,"[0, 0]"
hhM20,1,34,Experiment,True,True,0.0895374029641971,"[0, 2]"
hhM20,1,35,Experiment,True,True,0.09343862999230623,"[3, 0]"
hhM20,1,36,Experiment,True,True,0.061075220932252705,"[0, 4]"
hhM20,1,37,Experiment,True,True,0.05940176406875253,"[2, 1]"
hhM20,1,38,Experiment,False,False,0.0927289699902758,"[-1, -1]"
hhM20,1,39,Experiment,True,True,0.055003624060191214,"[1, 4]"
hhM20,1,40,Experiment,True,True,0.08846455300226808,"[1, 3]"
hhM20,1,41,Experiment,True,True,0.060016519972123206,"[3, 4]"
hhM20,1,42,Experiment,True,True,0.09331733908038586,"[3, 1]"
hhM20,1,43,Experiment,True,True,0.07790673489216715,"[2, 1]"
hhM20,1,44,Experiment,True,True,0.09386211703531444,"[3, 3]"
hhM20,1,45,Experiment,True,True,0.07689077698159963,"[4, 3]"
hhM20,1,46,Experiment,True,True,0.03600667207501829,"[3, 0]"
hhM20,1,47,Experiment,True,True,0.08268320199567825,"[3, 3]"
hhM20,1,48,Experiment,True,True,0.08312036795541644,"[2, 0]"
hhM20,1,49,Experiment,True,True,0.05610658193472773,"[0, 4]"
hhM20,1,50,Experiment,False,False,0.059170080930925906,"[-1, -1]"
